episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,steps_survived,food_collected,terminated,truncated,end_reason,environment_steps,optimizer_updates
244,-0.7400000000000002,10,0.8530825,0.008731801151665613,1.4,76,75,1,True,False,wall,15465,3617
245,-11.170000000000002,0,0.8519615,0.03638300350174741,1.4,118,117,0,True,False,wall,15583,3646
246,-10.26,0,0.851705,0.02205034067654716,1.4,27,26,0,True,False,wall,15610,3653
247,-10.55,0,0.851173,0.043462939337976944,1.4,56,55,0,True,False,wall,15666,3667
248,-10.55,0,0.850641,0.0008235803688876331,1.4,56,55,0,True,False,wall,15722,3681
249,-10.41,0,0.8502419999999999,0.0006490585537077012,1.4,42,41,0,True,False,wall,15764,3692
250,-10.28,0,0.8499665000000001,0.0004939012661842364,1.4,29,28,0,True,False,wall,15793,3699
251,-10.67,0,0.8493205,0.0004617319594698903,1.4,68,67,0,True,False,wall,15861,3716
252,-10.81,0,0.8485415000000001,0.008028854498115834,1.3,82,81,0,True,False,wall,15943,3736
253,-10.64,0,0.847924,0.026419154621715492,1.3,65,64,0,True,False,wall,16008,3753
254,-10.13,0,0.847791,0.0008054427162278444,1.3,14,13,0,True,False,wall,16022,3756
255,-10.27,0,0.847525,0.022114074834722226,1.3,28,27,0,True,False,wall,16050,3763
256,-10.850000000000001,0,0.846708,0.04756209393235622,1.3,86,85,0,True,False,wall,16136,3785
257,-10.55,0,0.846176,0.0005980273625547332,1.3,56,55,0,True,False,wall,16192,3799
258,-10.98,0,0.8452355,0.01914203404097255,1.2,99,98,0,True,False,wall,16291,3823
259,-10.39,0,0.8448555,0.014931625098688528,1.2,40,39,0,True,False,wall,16331,3833
260,-10.24,0,0.844618,0.0009095890231297485,1.2,25,24,0,True,False,wall,16356,3840
261,-12.030000000000001,0,0.84268,0.01535203649979724,1.2,204,203,0,True,False,wall,16560,3891
262,-10.67,0,0.842034,0.01819972800748313,1.2,68,67,0,True,False,wall,16628,3908
263,-10.76,0,0.8413025000000001,0.00841702333051025,1.2,77,76,0,True,False,wall,16705,3927
264,-10.44,0,0.840875,0.0006815014282685959,1.2,45,44,0,True,False,wall,16750,3938
