policy,block,episode,seed,random_action_seed,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,turn_ratio,episode_reward
Heuristic,500000,50,500049,,280,432,431,28,31,19,self,self,False,True,False,0.1412037037037037,265.97000000000196
Heuristic,500000,51,500050,,410,732,731,41,44,31,self,self,False,True,False,0.12431693989071038,393.10000000000394
Heuristic,500000,52,500051,,390,633,632,39,42,23,self,self,False,True,False,0.12796208530805686,374.07000000000323
Heuristic,500000,53,500052,,260,380,379,26,29,17,self,self,False,True,False,0.11578947368421053,246.47000000000122
Heuristic,500000,54,500053,,340,498,497,34,37,34,self,self,False,True,False,0.11646586345381527,325.3700000000024
Heuristic,500000,55,500054,,340,465,464,34,37,8,self,self,False,True,False,0.13333333333333333,325.70000000000226
Heuristic,500000,56,500055,,240,317,316,24,27,9,self,self,False,True,False,0.13249211356466878,227.0800000000008
Heuristic,500000,57,500056,,510,708,707,51,54,17,self,self,False,True,False,0.15677966101694915,493.4400000000042
Heuristic,500000,58,500057,,220,369,368,22,25,40,wall,wall,False,True,False,0.17073170731707318,206.5400000000012
Heuristic,500000,59,500058,,140,196,195,14,17,5,self,self,False,True,False,0.12244897959183673,128.18999999999977
Heuristic,500000,60,500059,,250,283,282,25,28,7,self,self,False,True,False,0.18021201413427562,237.43000000000063
Heuristic,500000,61,500060,,200,289,288,20,23,5,wall,wall,False,True,False,0.10726643598615918,187.32000000000068
Heuristic,500000,62,500061,,410,715,714,41,44,26,self,self,False,True,False,0.14125874125874127,393.2700000000047
Heuristic,500000,63,500062,,330,545,544,33,36,13,self,self,False,True,False,0.10825688073394496,314.89000000000215
Heuristic,500000,64,500063,,370,578,577,37,40,11,self,self,False,True,False,0.14359861591695502,354.6000000000024
Heuristic,500000,65,500064,,390,602,601,39,42,40,self,self,False,True,False,0.11794019933554817,374.3800000000033
Heuristic,500000,66,500065,,430,640,639,43,46,7,self,self,False,True,False,0.115625,414.04000000000343
Heuristic,500000,67,500066,,320,449,448,32,35,7,self,self,False,True,False,0.1358574610244989,305.8400000000023
Heuristic,500000,68,500067,,260,382,381,26,29,16,self,self,False,True,False,0.12827225130890052,246.45000000000158
Heuristic,500000,69,500068,,340,542,541,34,37,25,self,self,False,True,False,0.13284132841328414,324.930000000003
Heuristic,500000,70,500069,,150,183,182,15,18,13,self,self,False,True,False,0.15846994535519127,138.32999999999993
Heuristic,500000,71,500070,,470,673,672,47,50,36,self,self,False,True,False,0.1426448736998514,453.750000000004
Heuristic,500000,72,500071,,160,232,231,16,19,15,self,self,False,True,False,0.13793103448275862,147.8500000000002
Heuristic,500000,73,500072,,130,168,167,13,16,7,self,self,False,True,False,0.16071428571428573,118.45999999999981
Heuristic,500000,74,500073,,260,315,314,26,29,25,self,self,False,True,False,0.16507936507936508,247.1200000000013
Heuristic,500000,75,500074,,270,431,430,27,30,5,self,self,False,True,False,0.13225058004640372,255.97000000000202
Heuristic,500000,76,500075,,240,360,359,24,27,16,self,self,False,True,False,0.11388888888888889,226.65000000000123
Heuristic,500000,77,500076,,510,891,890,51,54,21,self,self,False,True,False,0.12345679012345678,491.61000000000536
Heuristic,500000,78,500077,,150,207,206,15,18,13,self,self,False,True,False,0.15458937198067632,138.08999999999992
Heuristic,500000,79,500078,,110,156,155,11,14,5,self,self,False,True,False,0.1346153846153846,98.55999999999982
