policy,seed,assistance,score,food_collected,steps,steps_survived,turn_ratio,terminated,truncated,won,end_reason,max_length,max_occupancy_percent,reached_half,ordered_requested_step,ordered_locked_step,ordered_steps,recovery_steps,repeated_states,max_repeated_cycle_length,repeated_ordered_states,unexpected_ordered_fallbacks,ordered_progress_errors,collision_after_requested,collision_after_locked,no_food_after_requested,steps_half_to_win,elapsed_seconds,overrides,max_decision_ms
Heuristic,safety-9,True,1240,124,3000,3000,0.139,False,True,False,evaluation_step_limit,127,31.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.09549779999999965,246,0.4054999999998472
Heuristic,safety-10,True,1380,138,3000,3000,0.152,False,True,False,evaluation_step_limit,141,35.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.0902469000000001,175,0.40399999999999636
Heuristic,safety-11,True,1280,128,3000,3000,0.15766666666666668,False,True,False,evaluation_step_limit,131,32.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.10980580000000009,198,0.37820000000010623
Heuristic,safety-12,True,1210,121,3000,3000,0.13633333333333333,False,True,False,evaluation_step_limit,124,31,False,,,0,0,0,0,0,0,0,False,False,False,,0.09596299999999974,303,0.4982999999997446
Heuristic,safety-13,True,1260,126,3000,3000,0.16,False,True,False,evaluation_step_limit,129,32.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.11583860000000004,205,0.40019999999913125
Heuristic,safety-14,True,1280,128,3000,3000,0.15866666666666668,False,True,False,evaluation_step_limit,131,32.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.12014680000000044,220,0.5149999999994179
Heuristic,safety-15,True,1210,121,3000,3000,0.15733333333333333,False,True,False,evaluation_step_limit,124,31,False,,,0,0,0,0,0,0,0,False,False,False,,0.11598049999999967,197,0.41669999999976426
Heuristic,safety-16,True,1200,120,3000,3000,0.13766666666666666,False,True,False,evaluation_step_limit,123,30.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.10795709999999963,221,0.3951999999999316
Heuristic,safety-17,True,1190,119,3000,3000,0.143,False,True,False,evaluation_step_limit,122,30.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.11454770000000007,238,1.3337000000001353
Heuristic,safety-18,True,1170,117,3000,3000,0.13433333333333333,False,True,False,evaluation_step_limit,120,30,False,,,0,0,0,0,0,0,0,False,False,False,,0.10651049999999941,205,0.4537000000000262
